"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Авторизация на портале devcs","","0","1","0","0","0"
"","","","0","1","5","0","0"
"","Интеграционный тест проверки количества записей на Очереди Видео за прошлый месяц","","1","0","0","0","0"
"","Интеграционный тест проверки количества записей на Очереди Видео за Прошлую неделю","","0","0","1","0","0"
"","Проверка Пагинации на Очереди Видео","","0","1","0","0","0"
"","Тесты фильтров дата пикера Очереди Видео","","0","1","0","0","0"
"","(API) #77757 [Terminal] Очередь видео, при пустом поле pageSize запрос /all возвращает 500 ошибку со StackTrace","","1","0","0","0","0"
"","Интеграционный тест проверки количества испорченых записей на Очереди Видео за Месяц","","1","0","0","0","0"
"","Ошибка #76475 [Terminal] не открывается окно Настройки устройства после перехода на другие страницы","","0","0","1","0","0"
"","Интеграционный тест проверки количества записей на Очереди Видео за Месяц","","1","0","0","0","0"
"","Отметить видео как невалидное на Очереди Видео","","1","0","0","0","0"
"","Задача #77841[Terminal-frontend] Убрать на страницу Мониторинг устройств из фильтра по умолчанию Автобус","","0","0","1","0","0"
"","Получить список ссылок с видео","","0","0","1","0","0"
"","Интеграционный тест проверки количества записей на Очереди Видео за Вчера","","0","0","1","0","0"
"","Проверка полей на детальной странице видее","","1","0","0","0","0"
"","Ошибка #76424 [Terminal] Удаляются данные из фильтров при нажатии кнопки Очистка фильтра","","0","0","1","0","0"
